district,area_sqft,latitude,longitude,land_type,location_type,road_access,utilities_available,price_per_sqft
Salem,3976.0,11.529713,78.278319,Vacant,Semi-Urban,yes,yes,205.85
Tirunelveli,39878.0,8.857312,77.708085,Vacant,Rural,no,yes,91.87
Visakhapatnam,72342.0,17.767901,83.204075,Development,Commercial,yes,yes,4859.55
Aurangabad,21419.0,19.956902,75.479758,Development,Semi-Urban,no,yes,690.12
Madurai,30621.0,10.000489,78.200814,Vacant,Urban,yes,yes,3145.72
Tirunelveli,302157.0,8.706779,77.630387,Agricultural,Rural,no,no,82.11
Salem,13087.0,11.571762,78.217581,Industrial,Semi-Urban,no,no,219.86
Vijayawada,5104.0,16.473725,80.691851,Vacant,Urban,no,yes,2288.15
Visakhapatnam,6188.0,17.670603,83.113089,Industrial,Semi-Urban,yes,yes,2262.95
Visakhapatnam,32497.0,17.767844,83.101192,Commercial Plot,Urban,no,no,3604.73
Mysore,28025.0,12.261793,76.781517,Industrial,Semi-Urban,yes,no,477.33
Madurai,44867.0,9.887792,78.252241,Residential Plot,Urban,yes,yes,2775.02
Tirupur,56591.0,11.072909,77.298788,Vacant,Rural,yes,no,116.27
Bangalore,38526.0,12.84174,77.694132,Vacant,Urban,yes,yes,15624.61
Mangalore,32349.0,12.890202,74.770533,Vacant,Rural,yes,no,197.93
Pune,57348.0,18.423137,73.98259,Vacant,Rural,yes,no,576.69
Vellore,25975.0,13.013052,79.205253,Vacant,Semi-Urban,no,yes,242.95
Salem,40028.0,11.582006,78.152772,Residential Plot,Semi-Urban,no,yes,337.68
Mysore,166543.0,12.36292,76.686369,Agricultural,Rural,no,yes,107.7
Chennai,15351.0,13.013684,80.398317,Vacant,Commercial,yes,yes,19103.6
Chennai,6881.0,12.961779,80.250015,Residential Plot,Semi-Urban,no,yes,3303.89
Bangalore,46600.0,13.105884,77.582629,Commercial Plot,Commercial,no,yes,12978.42
Bangalore,11750.0,12.879771,77.677468,Vacant,Commercial,yes,yes,7371.03
Madurai,6434.0,9.91161,78.07105,Development,Semi-Urban,yes,yes,936.06
Bangalore,47165.0,12.94033,77.537682,Commercial Plot,Commercial,yes,yes,10848.62
Trichy,5400.0,10.724234,78.633972,Development,Urban,yes,yes,2506.51
Kochi,11264.0,9.821492,76.337192,Development,Commercial,no,yes,10673.98
Kochi,25043.0,9.812168,76.407832,Vacant,Rural,no,no,277.38
Tirupur,37195.0,10.972297,77.429943,Vacant,Rural,no,no,71.68
Chennai,61697.0,13.109848,80.130235,Commercial Plot,Urban,yes,yes,14839.18
