property_id,district,latitude,longitude,area_sqft,property_type,location_type,bhk_type,age_of_property,price_per_sqft,total_price,road_access,utilities_available,water_supply,electricity,ownership_type,transaction_type,legal_status,amenities,days_on_market,seller_type,demand_score,location_score,price_trend,roi_percentage,investment_potential,date_listed
PROP000001,Chennai,13.118617,80.15503,30133.59,Commercial Space,Commercial,NA,0,13907.48,382042402.6,No,No,No,Yes,Leasehold,Rent,Clear,WiFi,58,Builder,61.98,100.0,Increasing,15.46,Medium,2026-07-26
PROP000002,Mysore,12.246554,76.618121,33952.7,Mixed-Use Property,Semi-Urban,NA,2,5785.78,203526862.79,Yes,Yes,No,Yes,Freehold,Buy,Clear,Basic,120,Builder,70.7,50.0,Stable,12.19,Medium,2026-05-25
PROP000003,Delhi,28.763728,77.103512,37890.39,Commercial Space,Commercial,NA,21,13446.99,477397738.15,No,Yes,No,Yes,Leasehold,Buy,Clear,WiFi,19,Bank,65.12,100.0,Increasing,9.1,Medium,2026-09-03
PROP000004,Ahmedabad,23.088882,72.44958,98701.81,Industrial Space,Industrial Hub,NA,11,1417.84,94757594.85,Yes,No,No,Yes,Freehold,Buy,Disputed,Basic,48,Builder,56.53,50.0,Increasing,9.59,Low,2026-08-05
PROP000005,Vellore,13.033184,79.21826,266727.76,Development Land,Urban,NA,0,3626.01,1017601903.77,Yes,Yes,Yes,Yes,Freehold,Buy,Clear,Basic,61,Builder,70.35,75.0,Stable,7.49,Medium,2026-07-23
PROP000006,Chennai,12.964153,80.326665,471712.52,Industrial Plot,Industrial Hub,NA,18,1487.88,647843044.58,No,No,No,No,Leasehold,Buy,Mortgaged,"Water Supply, Road Access",151,Bank,48.83,50.0,Decreasing,-10.15,Low,2026-04-24
PROP000007,Tirupur,11.163603,77.372146,26369.07,Vacant Land,Semi-Urban,NA,0,1264.1,32250604.19,No,Yes,No,No,Freehold,Buy,Clear,Basic,28,Individual,44.92,50.0,Increasing,13.85,Low,2026-08-25
PROP000008,Visakhapatnam,17.653356,83.295323,15038.36,Warehouse,Industrial Hub,NA,0,1284.23,18306785.91,Yes,Yes,No,Yes,Leasehold,Buy,Clear,Security,49,Bank,48.52,40.0,Decreasing,-0.39,Low,2026-08-04
PROP000009,Mysore,12.359669,76.630144,3893.07,Retail Space,Commercial,NA,0,11655.55,46987259.26,Yes,No,Yes,Yes,Leasehold,Rent,Clear,Parking,138,Bank,75.41,80.0,Stable,8.6,Medium,2026-05-07
PROP000010,Jaipur,26.851588,75.897995,29470.4,Office Space,Commercial,NA,16,7614.95,175229976.25,No,No,No,Yes,Leasehold,Rent,Mortgaged,"Security, Elevator",103,Real Estate Agent,96.83,100.0,Increasing,7.32,Medium,2026-06-11
PROP000011,Tirupur,11.1327,77.201012,84566.4,Mixed-Use Property,Semi-Urban,NA,8,2192.91,167572446.52,Yes,Yes,Yes,No,Freehold,Sell,Clear,Basic,74,Real Estate Agent,68.73,50.0,Increasing,13.69,Medium,2026-07-10
PROP000012,Gurgaon,28.37862,77.178409,8801.01,Retail Space,Commercial,NA,0,20000.0,175756761.38,Yes,Yes,Yes,Yes,Freehold,Lease,Clear,"Signage, Security",108,Individual,78.65,100.0,Stable,10.93,Medium,2026-06-06
PROP000013,Lucknow,26.896665,81.092724,5154.29,Residential House,Urban,1 BHK,17,3587.19,20102290.84,Yes,Yes,Yes,Yes,Freehold,Buy,Clear,Swimming Pool,108,Builder,67.84,75.0,Stable,-1.67,Low,2026-06-06
PROP000014,Chennai,13.000607,80.339489,4940.63,Residential House,Urban,4 BHK,14,7040.98,33615908.7,Yes,Yes,Yes,Yes,Leasehold,Rent,Clear,"Parking, Electricity",10,NRI,95.58,93.75,Increasing,14.1,High,2026-09-12
PROP000015,Hyderabad,17.468405,78.438876,83392.09,Mixed-Use Property,Semi-Urban,NA,12,8201.96,713334446.32,Yes,Yes,Yes,Yes,Freehold,Lease,Clear,Basic,87,Builder,70.92,81.25,Increasing,16.58,Medium,2026-06-27
PROP000016,Chandigarh,30.725024,76.754923,66359.54,Industrial Space,Industrial Hub,NA,0,2810.35,195366907.15,Yes,No,Yes,Yes,Leasehold,Buy,Clear,Basic,46,Real Estate Agent,42.67,50.0,Increasing,20.72,Low,2026-08-07
PROP000017,Pune,18.48967,73.739134,478737.05,Agricultural Land,Rural,NA,0,528.8,248017993.59,Yes,Yes,Yes,Yes,Co-op,Sell,Clear,Road Access,13,Builder,29.09,32.5,Stable,12.04,Low,2026-09-09
PROP000018,Aurangabad,19.915095,75.377634,30057.57,Warehouse,Industrial Hub,NA,10,715.68,21021474.88,No,No,Yes,Yes,Freehold,Sell,Clear,"Water Supply, Electricity",59,Builder,44.24,40.0,Increasing,10.44,Low,2026-07-25
PROP000019,Salem,11.504501,78.380994,36886.02,Commercial Space,Commercial,NA,24,2895.12,89381778.45,Yes,No,No,Yes,Leasehold,Buy,Mortgaged,Security,13,Individual,83.52,80.0,Increasing,5.56,Medium,2026-09-09
PROP000020,Visakhapatnam,17.70105,83.265291,92802.38,Development Land,Urban,NA,0,6754.55,670358770.68,Yes,No,Yes,Yes,Freehold,Buy,Clear,Basic,20,Builder,69.92,75.0,Increasing,22.54,Medium,2026-09-02
PROP000021,Mysore,12.357924,76.618241,29235.17,Office Space,Commercial,NA,25,5716.29,153063703.82,Yes,Yes,Yes,No,Leasehold,Rent,Mortgaged,"AC, Parking",21,Bank,87.02,80.0,Increasing,2.25,Low,2026-09-01
PROP000022,Vadodara,22.358131,73.272628,244775.87,Development Land,Rural,NA,3,1411.57,359903841.41,Yes,Yes,No,Yes,Freehold,Buy,Clear,Basic,202,Real Estate Agent,47.53,20.0,Decreasing,-5.74,Low,2026-03-04
PROP000023,Ahmedabad,23.223263,72.604312,192623.65,Warehouse,Industrial Hub,NA,16,878.87,127689239.66,Yes,No,No,Yes,Freehold,Rent,Disputed,"Electricity, Security",17,NRI,35.49,50.0,Increasing,4.85,Low,2026-09-05
PROP000024,Chandigarh,30.745454,76.762756,118339.54,Development Land,Semi-Urban,NA,9,6326.3,807085191.45,Yes,No,Yes,Yes,Freehold,Buy,Clear,Basic,110,Builder,88.85,62.5,Stable,8.57,Medium,2026-06-04
